rating,pid,image_type,image_id
-2,1,modified,5896
-2,1,modified,6237
-2,1,modified,6718
1,1,modified,5773
0,1,modified,6145
2,1,real,1456
2,1,real,2233
2,1,real,1972
0,1,modified,5968
-2,1,modified,5915
-1,1,real,1107
-2,1,modified,6333
-2,1,modified,6567
-1,1,modified,5872
1,1,modified,6341
-2,1,modified,6031
-2,1,modified,6098
-2,1,modified,6868
0,1,modified,5712
1,1,modified,6832
1,1,real,2941
-2,1,real,1187
-2,1,real,399
2,1,real,1441
-2,1,modified,6656
2,1,real,1454
1,1,real,688
1,1,modified,5985
1,1,modified,6492
2,1,real,2833
1,1,modified,5828
2,1,real,2018
1,1,real,842
1,1,real,749
-2,1,real,2732
-1,1,modified,6649
-1,1,real,957
2,1,real,2735
2,1,real,209
2,1,real,2024
-2,1,real,879
2,1,real,2621
2,1,real,1823
-1,1,modified,6489
2,1,real,2079
-2,1,real,671
1,1,modified,6519
1,1,real,1406
-2,1,modified,6513
2,1,real,1838
-2,1,modified,6765
-2,1,modified,5904
0,1,modified,5662
-2,1,modified,6633
-1,1,real,2920
2,1,real,2306
-1,1,modified,6859
1,1,real,730
1,1,real,186
1,1,real,1408
2,1,real,1308
-1,1,modified,6411
-2,1,modified,5844
-1,1,modified,6823
-2,1,modified,6233
-1,1,modified,5809
1,1,modified,6119
-1,1,modified,5696
-1,1,modified,6263
-2,1,modified,5795
-1,1,modified,6058
-1,1,modified,5970
2,1,real,1447
-1,1,real,326
0,1,real,2010
-1,1,modified,6227
1,1,real,2058
-1,1,modified,6806
2,1,real,2358
1,1,real,1780
1,1,real,1455
-2,1,modified,5924
-2,1,modified,5723
-1,1,modified,6684
0,1,modified,6123
0,1,real,1205
-2,1,modified,6900
1,1,real,2449
1,1,real,2557
1,1,real,1231
-2,1,real,634
-2,1,real,1002
0,1,modified,6645
2,1,real,1040
-1,1,modified,6352
2,1,real,2082
-1,1,real,2429
-1,1,modified,6197
-2,1,real,1084
0,1,real,1808
-2,2,modified,6783
1,2,real,985
-1,2,real,1640
-1,2,modified,6435
1,2,real,111
-1,2,real,1469
-1,2,real,854
-2,2,modified,6131
1,2,real,1257
1,2,modified,5685
1,2,modified,6453
-1,2,modified,6030
1,2,real,1970
1,2,real,1335
1,2,real,2110
1,2,modified,6609
-1,2,real,402
-2,2,modified,5881
-2,2,modified,6127
1,2,real,2334
2,2,real,674
-2,2,real,1545
-2,2,modified,6204
-1,2,modified,6043
-1,2,modified,6095
-1,2,modified,6695
2,2,real,2267
-2,2,modified,6922
1,2,modified,6086
-1,2,modified,5870
-2,2,real,2679
1,2,real,1357
-2,2,modified,5820
1,2,modified,6766
-2,2,modified,6257
-1,2,real,855
-1,2,real,242
-2,2,modified,5874
-1,2,modified,6814
1,2,real,2877
-1,2,real,1337
1,2,real,2052
-2,2,modified,5836
-1,2,modified,6002
-1,2,modified,6533
-1,2,real,1433
0,2,modified,6521
1,2,real,376
-1,2,modified,6753
1,2,real,1884
1,2,real,2294
1,2,real,1524
1,2,real,2727
1,2,real,1829
1,2,real,2075
0,2,modified,6243
1,2,modified,6380
1,2,real,768
1,2,real,1417
-1,2,real,2751
-1,2,modified,5964
0,2,modified,5779
1,2,modified,5699
0,2,modified,5910
-1,2,modified,6005
1,2,real,515
0,2,modified,6636
-2,2,modified,6391
-2,2,modified,6336
-1,2,real,1492
-1,2,modified,6091
-2,2,modified,5716
1,2,real,166
0,2,modified,5712
1,2,real,355
-1,2,modified,6523
-1,2,real,2656
-1,2,real,1619
1,2,real,1240
-1,2,modified,5788
0,2,real,1276
-1,2,real,2132
1,2,real,1232
-2,2,modified,6427
-1,2,modified,6846
-1,2,modified,6541
1,2,real,2072
-1,2,modified,5893
0,2,real,2514
1,2,real,149
-1,2,modified,5683
1,2,modified,6875
1,2,real,71
-2,2,modified,5849
-2,2,modified,6474
1,2,real,1168
1,2,real,2256
-1,2,real,342
-1,2,modified,6160
1,2,real,622
-2,3,modified,6000
-2,3,modified,6276
0,3,real,2542
-1,3,real,2661
1,3,real,308
0,3,real,2062
1,3,real,557
