rating,pid,image_type,image_id
-2,1,modified,374
-2,1,modified,192
1,1,modified,48
1,1,modified,64
2,1,real,804
-2,1,modified,391
-2,1,real,1679
-1,1,modified,184
-1,1,real,1624
-2,1,modified,228
-1,1,modified,42
1,1,real,2704
2,1,real,2209
-2,1,modified,342
-2,1,modified,9
2,1,real,2763
2,1,real,848
-2,1,modified,32
1,1,modified,414
1,1,modified,41
1,1,real,3
2,1,modified,311
-1,1,modified,384
-1,1,modified,130
-1,1,real,1230
-1,1,real,1554
2,1,real,766
-2,1,modified,135
1,1,real,1724
1,1,real,1840
-1,1,modified,98
-2,1,modified,296
2,1,real,1804
2,1,real,1602
-2,1,modified,66
1,1,modified,306
-2,1,modified,115
-2,1,real,1843
2,1,real,1440
-2,1,modified,189
-1,1,modified,72
1,1,real,1780
-2,1,modified,141
-2,1,modified,6
1,1,modified,65
1,1,real,1064
-2,1,modified,154
-1,1,real,2799
-1,1,modified,305
-1,1,real,120
-2,1,modified,161
-1,1,real,2703
1,1,real,2667
1,1,real,1274
-2,1,modified,236
-1,1,modified,120
-2,1,modified,131
-1,1,real,587
-2,1,real,2084
1,1,modified,406
1,1,real,1640
1,1,real,2176
-2,1,real,2143
-2,1,modified,174
-1,1,modified,166
-1,1,modified,88
-2,1,real,2101
-1,1,modified,233
-1,1,real,1901
1,1,real,2785
-2,1,real,449
1,1,real,2132
1,1,modified,216
-1,1,real,106
1,1,modified,280
1,1,real,2214
-1,1,modified,133
-2,1,modified,151
-1,1,real,651
-1,1,real,88
1,1,real,411
1,1,real,1829
-1,1,real,2339
1,1,real,463
-1,1,real,2443
1,1,real,1638
-2,1,real,1855
1,1,modified,322
1,1,modified,94
1,1,modified,63
1,1,real,785
-1,1,real,2240
2,1,real,1408
1,1,real,1548
-1,1,modified,16
-1,1,modified,312
1,1,modified,177
1,1,modified,45
-1,1,real,2741
-1,1,modified,262
-1,2,modified,5505
-1,2,real,1370
-2,2,modified,5555
-1,2,real,1461
-2,2,modified,5428
-2,2,modified,5648
1,2,real,1226
2,2,real,1196
-1,2,real,495
1,2,modified,5440
-1,2,real,383
0,2,modified,5587
0,2,real,1234
-2,2,modified,5416
2,2,real,2603
1,2,modified,5605
-2,2,modified,5517
0,2,real,141
-1,2,modified,5549
1,2,real,2624
-1,2,modified,5559
-2,2,modified,5433
1,2,real,2093
0,2,real,793
0,2,real,2550
-2,2,modified,5572
2,2,real,1482
1,2,real,2233
0,2,modified,5514
1,2,real,748
1,2,real,762
-1,2,real,31
1,2,modified,5558
-2,2,real,2163
0,2,real,1353
-1,2,real,146
-2,2,modified,5551
-2,2,modified,5548
-1,2,real,2894
-1,2,modified,5488
-1,2,real,790
-2,2,modified,5593
1,2,real,1154
-2,2,modified,5469
-2,2,modified,5522
-1,2,real,2788
0,2,modified,5500
1,2,real,39
-2,2,modified,5554
-1,2,real,271
-1,2,real,1056
1,2,real,871
-2,2,modified,5495
-2,2,modified,5617
2,2,real,480
-2,2,modified,5470
1,2,real,783
1,2,real,678
1,2,real,2493
