rating,pid,image_type,image_id
2,1,real,1647
-2,1,modified,4489
-2,1,modified,5171
-2,1,modified,4335
-2,1,modified,4750
-1,1,modified,5363
2,1,real,2308
-2,1,modified,4821
2,1,real,1397
-2,1,modified,5178
1,1,modified,4814
-1,1,real,1062
-2,1,modified,5300
1,1,real,1613
-2,1,modified,5297
1,1,real,1750
2,1,real,1971
2,1,real,136
-2,1,modified,4659
-2,1,real,2720
-2,1,modified,4999
-2,1,modified,4461
2,1,real,2771
2,1,real,2768
-2,1,modified,4871
2,1,real,515
-2,1,modified,4414
0,1,modified,4913
-2,1,modified,5274
-2,1,modified,4091
-2,1,modified,4074
-2,1,modified,5291
-2,1,modified,4223
-2,1,modified,4656
2,1,real,288
-2,1,modified,4205
1,1,real,252
-2,1,real,1150
-2,1,modified,4464
-1,1,real,1278
-2,1,modified,4548
-2,1,modified,4826
2,1,real,1090
-2,1,modified,5154
0,1,real,2537
-2,1,modified,4410
1,1,real,2452
2,1,real,820
2,1,real,1032
2,1,real,2421
-1,1,real,2276
-2,1,modified,4292
2,1,real,2822
2,1,real,1280
-2,1,modified,4085
2,1,real,601
2,1,real,80
1,1,real,727
-2,1,modified,4788
-2,1,modified,4503
2,1,real,1400
-2,1,modified,4325
-2,1,modified,4614
2,1,real,512
2,1,real,1566
-2,1,modified,4896
-2,1,real,1714
-2,1,modified,4807
2,1,real,2621
-2,1,modified,4234
2,1,real,1152
1,1,real,2397
1,1,real,1004
2,1,real,804
2,1,real,1693
-2,1,modified,4752
-2,1,modified,5384
-1,1,real,1842
-2,1,modified,4623
2,1,real,1367
2,1,real,711
-2,1,modified,5134
1,1,real,2367
-2,1,modified,4440
-2,1,modified,4454
2,1,real,2359
-2,1,modified,5149
-2,1,modified,5227
-2,1,modified,4361
-2,1,modified,4256
1,1,real,2023
1,1,real,1719
1,1,real,90
-2,1,modified,5377
-1,1,real,1217
2,1,real,555
-1,1,real,690
-2,1,modified,4626
1,1,real,402
-2,1,modified,4532
-1,2,modified,5078
-1,2,real,2356
1,2,modified,4140
-1,2,modified,4715
2,2,real,2757
1,2,real,2242
-1,2,modified,4285
1,2,real,2821
-2,2,modified,4435
2,2,real,524
1,2,real,2010
-1,2,modified,4100
2,2,real,2142
-1,2,modified,5359
1,2,modified,4080
2,2,real,1735
-1,2,real,2835
2,2,real,598
-2,2,modified,4643
2,2,real,126
-2,2,modified,4549
-2,2,modified,5092
-1,2,real,638
2,2,real,1163
1,2,real,1189
-2,2,modified,4127
-1,2,real,238
-2,2,modified,4136
-2,2,modified,4465
2,2,real,2119
1,2,real,2087
1,2,real,783
2,2,real,2464
-1,2,real,1121
-1,2,real,2307
-2,2,real,1554
2,2,real,1852
-2,2,modified,4122
-1,2,real,554
1,2,modified,4969
-2,2,modified,5068
1,2,real,818
-2,2,modified,4392
-2,2,modified,5200
-1,2,modified,4220
-2,2,modified,4155
2,2,real,1998
-1,2,modified,5174
2,2,real,2173
-1,2,real,953
-2,2,modified,5399
2,2,real,277
-2,2,modified,4119
-2,2,modified,4205
2,2,real,2319
2,2,modified,5034
-2,2,modified,4874
-2,2,modified,5123
-2,2,modified,4507
-2,2,modified,4493
-1,2,modified,4798
-2,2,modified,4977
2,2,real,1508
-2,2,modified,4993
-2,2,modified,5111
-2,2,modified,5057
-1,2,modified,4935
2,2,real,1861
2,2,real,1321
-2,2,modified,4743
2,2,real,983
2,2,real,1814
2,2,real,835
-2,2,modified,5076
2,2,real,462
2,2,real,1162
-2,2,modified,4813
1,2,modified,4584
-2,2,modified,4398
1,2,modified,4694
2,2,real,1979
2,2,real,488
-2,2,modified,5358
2,2,real,2609
2,2,real,1000
2,2,modified,4946
2,2,real,982
-2,2,modified,4456
-2,2,modified,4821
2,2,real,601
-1,2,modified,4526
2,2,real,1100
