rating,pid,image_type,image_id
-1,1,real,1070
2,1,real,1086
2,1,modified,969
2,1,real,2604
2,1,real,2687
2,1,modified,2682
-1,1,real,1878
-2,1,modified,955
-2,1,modified,2812
2,1,real,2537
1,1,real,637
-2,1,modified,2653
-1,1,real,631
-2,1,real,2856
2,1,modified,1843
1,1,real,2197
2,1,real,2857
-2,1,modified,1484
-2,1,modified,1647
2,1,modified,2325
2,1,real,1160
1,1,modified,2407
-2,1,modified,1204
-1,1,real,2580
1,1,real,2399
0,1,modified,2627
0,1,modified,2132
2,1,real,2827
2,1,real,1049
2,1,modified,2688
-1,1,real,384
1,1,real,1454
-2,1,modified,566
-1,1,modified,3134
2,1,real,2059
-2,1,modified,3061
-2,1,real,1847
2,1,real,2058
-1,1,real,138
-2,1,real,2779
0,1,modified,707
-2,1,real,1052
0,1,modified,3050
-2,1,real,1648
1,1,modified,2663
0,1,modified,2724
-1,1,modified,1547
0,1,modified,898
2,1,real,1366
1,1,real,1365
0,1,modified,1141
-1,1,modified,538
1,1,real,324
-1,1,modified,2820
0,1,modified,2075
0,1,modified,2440
-1,1,modified,1412
-1,1,modified,2172
1,1,modified,1955
1,1,real,685
0,1,modified,875
1,1,real,1180
2,1,modified,3078
1,1,real,176
-1,1,real,889
-2,1,real,963
2,1,real,1590
-1,1,real,1313
0,1,modified,1158
-2,1,modified,2512
2,1,real,214
-2,1,modified,597
-2,1,modified,2345
-1,1,real,1472
1,1,real,1668
0,1,modified,1811
-2,1,real,1105
1,1,modified,581
0,1,modified,2283
-2,1,real,479
2,1,real,737
1,1,real,500
1,1,real,2332
0,1,modified,1661
2,1,real,1263
2,1,real,2271
2,1,real,361
-1,1,real,1129
-2,1,modified,2874
-2,1,real,640
0,1,modified,1068
-2,1,modified,2877
0,1,modified,2341
-1,1,modified,1415
0,1,modified,3146
2,1,real,2744
-1,1,real,2470
-2,1,modified,2085
1,1,modified,2754
-1,1,modified,717
1,2,real,1120
-2,2,modified,452
-2,2,modified,1106
-2,2,modified,653
2,2,real,2271
2,2,real,51
-2,2,modified,2197
2,2,real,1753
1,2,real,855
2,2,real,387
2,2,real,505
2,2,real,1351
-2,2,modified,2279
-2,2,modified,654
2,2,real,355
-2,2,real,1181
-2,2,modified,1637
2,2,real,1575
1,2,real,1126
-2,2,modified,1213
1,2,real,829
-2,2,modified,1186
2,2,real,2429
-2,2,modified,766
2,2,real,1068
2,2,real,2043
-2,2,modified,509
1,2,real,1439
-2,2,modified,628
2,2,real,1716
2,2,real,579
-2,2,modified,2833
-2,2,modified,2595
1,2,real,2867
-2,2,modified,1799
-2,2,modified,2742
2,2,real,2575
-1,2,real,2656
-2,2,modified,1985
1,2,real,1681
2,2,real,727
-2,2,modified,1900
-2,2,modified,1403
-2,2,modified,1332
1,2,real,1812
2,2,real,2280
2,2,real,1366
-2,2,modified,1735
1,2,real,1948
-2,2,modified,2384
1,2,real,2187
-2,2,modified,1635
1,2,real,940
1,2,real,2011
2,2,real,1204
2,2,real,612
-2,2,modified,2748
-2,2,modified,1402
-2,2,modified,1891
-2,2,modified,1685
-2,2,modified,2201
-2,2,modified,1159
-2,2,modified,2581
2,2,real,2778
2,2,real,2507
2,2,real,2203
2,2,real,1938
2,2,real,1720
-2,2,modified,1597
-2,2,modified,2028
-2,2,modified,1977
-2,2,modified,1149
1,2,real,2453
-2,2,modified,1829
2,2,real,2952
-2,2,modified,2156
2,2,real,2290
-2,2,modified,2861
-2,2,modified,1237
2,2,real,1014
1,2,real,165
-2,2,modified,601
-2,2,modified,2416
-2,2,modified,1136
-2,2,modified,2746
-2,2,modified,2702
2,2,real,637
1,2,real,1192
-2,2,modified,2211
-2,2,modified,2678
2,2,real,1804
1,2,real,496
-2,2,modified,2970
2,2,real,1708
-2,2,modified,2963
-2,2,modified,2337
2,2,real,948
-2,2,modified,2293
2,2,real,140
-2,2,modified,2372
-2,3,modified,1199
2,3,real,1937
-2,3,modified,1635
-2,3,modified,586
2,3,real,1832
1,3,real,1712
1,3,real,791
-1,3,real,115
-2,3,modified,601
-2,3,modified,2729
-2,3,modified,662
-2,3,modified,800
-2,3,modified,1851
-2,3,modified,2130
2,3,real,2507
-2,3,modified,2140
2,3,real,484
-2,3,modified,2565
1,3,real,75
2,3,real,746
-2,3,modified,660
-2,3,modified,1747
2,3,real,1539
2,3,real,398
0,3,real,2399
2,3,real,1437
-2,3,modified,2272
2,3,real,1530
-2,3,modified,2826
1,3,real,2391
-2,3,modified,2496
2,3,real,939
2,3,real,52
-2,3,modified,1040
-2,3,modified,2150
0,3,real,1336
-2,3,modified,1151
-2,3,modified,1286
2,3,real,992
2,3,real,1287
0,3,real,28
2,3,real,2585
2,3,real,40
-2,3,modified,2687
2,3,real,1959
-1,3,real,1640
-2,3,modified,528
2,3,real,2669
1,3,real,2823
2,3,real,2588
-1,3,real,1112
1,3,real,2710
-2,3,modified,2644
-2,3,modified,2227
-2,3,modified,1140
1,3,real,121
-2,3,real,1519
-2,3,modified,881
2,3,real,2632
-2,3,modified,1407
2,3,real,1409
-2,3,real,1648
2,3,real,2192
1,3,real,2468
2,3,real,1741
-2,3,modified,429
-2,3,modified,1939
-2,3,modified,536
2,3,real,545
-2,3,modified,2462
-2,3,modified,2916
2,3,real,499
-2,3,modified,2791
-2,3,modified,1782
2,3,real,1609
-2,3,modified,2487
-2,3,modified,542
2,3,real,2658
2,3,real,564
1,3,real,623
-2,3,modified,2266
2,3,real,578
-2,3,modified,2665
-2,3,modified,482
-2,3,modified,1148
2,3,real,2299
-2,3,modified,810
-2,3,modified,2656
-2,3,modified,558
-2,3,modified,671
-2,3,modified,1558
-2,3,real,2084
2,3,real,2168
0,3,modified,1616
-2,3,modified,1835
-2,3,modified,2800
-2,3,modified,2794
2,3,real,1874
-2,3,modified,1460
1,3,real,184
-2,4,modified,563
-1,4,modified,449
-2,4,modified,817
-2,4,modified,2131
-1,4,modified,2797
-2,4,modified,2726
2,4,modified,2625
-2,4,real,525
2,4,real,26
-1,4,modified,3127
-2,4,modified,2706
-2,4,modified,1680
2,4,real,34
-2,4,modified,1731
-2,4,modified,1707
2,4,real,473
-2,4,modified,2002
-2,4,modified,2808
-1,4,real,1462
-2,4,modified,1325
1,4,real,1636
-2,4,modified,963
1,4,real,2732
-2,4,modified,2811
-2,4,modified,2592
2,4,real,1857
2,4,real,1990
2,4,real,2848
-2,4,modified,1342
-2,4,modified,1168
1,4,real,961
2,4,real,439
1,4,real,2446
1,4,real,1488
1,4,real,921
1,4,real,1878
2,4,real,1743
2,4,real,1508
-2,4,modified,1364
-2,4,modified,853
2,4,real,2265
-2,4,modified,1490
1,4,modified,738
-1,4,modified,2753
-2,4,modified,2574
2,4,real,1928
1,4,real,2670
2,4,real,2120
-1,4,real,1608
-2,4,modified,1706
-2,4,modified,1013
2,4,real,90
2,4,real,526
-2,4,modified,3046
1,4,real,433
2,4,real,930
2,4,real,2313
-2,4,modified,2635
-2,4,modified,2075
1,4,real,1681
2,4,real,248
-2,4,modified,482
2,4,real,16
-2,4,modified,707
2,4,real,216
2,4,real,2691
-2,4,modified,1434
0,4,real,349
-1,4,real,1491
2,4,real,1885
-2,4,modified,2212
2,4,real,357
2,4,real,1
-2,4,modified,1773
1,4,real,2681
-2,4,modified,2531
2,4,real,1819
-2,4,modified,1897
1,4,real,2155
-2,4,modified,1805
1,4,real,1128
-2,4,modified,528
2,4,real,1746
-2,4,modified,1323
2,4,real,2805
-2,4,modified,517
-2,4,modified,1290
-2,4,modified,1597
-2,4,modified,2940
2,4,real,2559
2,4,real,561
-2,4,modified,2853
2,4,real,2689
2,4,real,53
-2,4,modified,2803
-2,4,modified,1318
-2,4,modified,2944
1,4,real,2317
-2,4,modified,1176
2,4,real,2745
2,5,real,1568
1,5,real,1930
-1,5,modified,1571
1,5,modified,2084
1,5,real,2506
-1,5,modified,1353
-2,5,real,2945
-2,5,modified,1859
1,5,modified,1719
1,5,modified,1099
-2,5,modified,749
-1,5,modified,2391
2,5,real,1414
1,5,real,1697
-2,5,modified,815
2,5,real,25
1,5,modified,2819
2,5,real,2431
1,5,real,2582
-1,5,modified,926
-1,5,modified,2542
-1,5,modified,2804
2,5,real,54
1,5,real,1000
-1,5,modified,1086
2,5,real,264
-2,5,modified,1881
2,5,real,1688
-1,5,modified,2886
-1,5,modified,2436
-1,5,modified,685
1,5,real,1637
-1,5,modified,822
1,5,modified,559
-1,5,modified,1910
1,5,modified,2702
2,5,real,1970
-2,5,modified,599
2,5,real,2395
-1,5,modified,1746
2,5,real,2473
-1,5,modified,2618
-1,5,real,2778
-1,5,modified,1534
2,5,real,187
2,5,real,2682
-1,5,modified,2871
-2,5,modified,2897
2,5,real,408
2,5,real,1821
2,5,real,848
-2,5,modified,569
-2,5,modified,2953
1,5,real,2685
1,5,real,2361
2,5,real,1337
2,5,real,2099
2,5,real,1707
1,5,real,294
1,5,real,57
-1,5,modified,1170
1,5,real,244
2,5,real,1628
-1,5,real,1689
1,5,real,2454
1,5,real,553
1,5,real,197
1,5,real,2173
-2,5,modified,2537
-2,5,modified,897
-2,5,modified,721
-2,5,modified,2121
2,5,real,2126
-2,5,modified,1997
2,5,real,2283
-2,5,modified,678
-2,5,modified,2657
-2,5,modified,3067
-2,5,modified,1653
-2,5,modified,1282
-2,5,modified,1201
2,5,real,41
1,5,real,857
1,5,real,1471
1,5,real,2246
-1,5,modified,842
1,5,real,1062
-1,5,modified,1164
1,5,real,147
2,5,real,191
0,5,real,1818
1,5,real,2114
-1,5,modified,2730
1,5,modified,1152
-1,5,modified,1275
-1,5,modified,2371
2,5,real,2358
1,5,real,2146
-2,5,modified,2608
-2,5,modified,2120
1,6,real,2704
-2,6,modified,2329
-1,6,modified,2835
2,6,real,2020
-1,6,modified,1657
-1,6,modified,1020
-2,6,modified,799
-2,6,modified,2395
-2,6,modified,2114
1,6,real,1696
-1,6,real,1805
-2,6,modified,2790
-2,6,real,1842
-1,6,real,1817
1,6,real,668
-1,6,modified,2813
-1,6,real,1398
-2,6,modified,2410
2,6,real,765
-2,6,modified,827
-1,6,modified,1684
1,6,real,978
-2,6,modified,674
-2,6,modified,789
2,6,real,503
-2,6,modified,2586
-2,6,modified,1574
-1,6,modified,2826
1,6,real,1640
-1,6,real,2495
1,6,real,2891
-2,6,modified,1653
1,6,real,605
1,6,real,1126
-1,6,real,1697
-1,6,modified,1233
1,6,real,1032
1,6,real,2737
1,6,modified,1046
1,6,real,2925
-2,6,modified,2033
-2,6,modified,916
1,6,real,2141
1,6,real,1487
-2,6,modified,1728
-2,6,modified,675
-2,6,modified,1228
1,6,real,2548
-2,6,modified,2235
1,6,real,1001
1,6,modified,642
1,6,modified,2438
-1,6,modified,725
2,6,real,2786
1,6,real,394
-1,6,modified,1130
1,6,real,256
-1,6,modified,2324
-1,6,real,1703
1,6,real,1977
1,6,real,2909
1,6,modified,2388
1,6,modified,2605
2,6,real,582
1,6,real,2000
-2,6,modified,2892
1,6,real,2043
1,6,real,2212
-1,6,modified,3106
-1,6,modified,1731
1,6,real,1008
-2,6,modified,2365
1,6,real,388
-1,6,real,2251
-1,6,modified,1938
0,6,real,51
-1,6,modified,2138
-1,6,modified,757
-2,6,modified,496
2,6,real,2558
-2,6,real,271
-1,6,modified,2327
1,6,real,84
-1,6,modified,2345
1,6,real,2419
2,6,modified,951
-1,6,modified,491
2,6,real,2207
-2,6,modified,2077
1,6,real,1258
-2,6,modified,1618
-1,6,real,2195
-2,6,modified,2092
1,6,real,702
-1,6,modified,1165
1,6,real,1626
-1,6,modified,683
1,6,real,1693
1,6,real,2542
0,6,real,688
-2,7,modified,567
-2,7,modified,1165
-2,7,modified,507
-2,7,modified,1061
-1,7,modified,3156
-2,7,modified,2164
-1,7,modified,522
0,7,modified,1890
1,7,real,656
1,7,real,1413
-1,7,modified,2771
-2,7,modified,1794
1,7,modified,738
-1,7,modified,1389
-1,7,modified,2295
-1,7,modified,800
1,7,real,252
1,7,real,2634
-2,7,modified,678
1,7,real,1416
1,7,real,813
1,7,real,1299
-2,7,modified,3121
1,7,real,2512
1,7,real,183
1,7,real,2243
1,7,real,1510
1,7,real,438
1,7,real,1429
-1,7,real,2432
-2,7,modified,2603
1,7,real,768
1,7,real,1405
-2,7,modified,2499
-1,7,real,2907
1,7,real,2513
-2,7,modified,1633
1,7,real,1727
1,7,real,1040
0,7,real,580
-2,7,modified,2461
-2,7,modified,1018
-2,7,modified,1075
-2,7,modified,2645
-1,7,real,158
-2,7,modified,2916
1,7,real,2868
1,7,real,2809
-1,7,modified,1263
1,7,real,1423
1,7,modified,841
-1,7,real,2398
1,7,real,1123
0,7,real,372
1,7,real,174
-2,7,modified,2607
-2,7,real,2238
-2,7,modified,1948
1,7,real,2588
-1,7,modified,1925
1,7,real,837
-2,7,modified,2169
-1,7,real,24
-1,7,modified,1806
-2,7,modified,1433
-2,7,modified,2724
0,7,real,2147
-2,7,modified,1390
1,7,real,2472
-1,7,real,1698
-2,7,modified,1411
1,7,real,1354
1,7,real,1019
-2,7,modified,2416
1,7,real,835
-2,7,modified,1803
-2,7,modified,1867
-2,7,modified,2518
-2,7,modified,2844
-2,7,modified,436
1,7,real,92
-2,7,modified,2770
-1,7,modified,949
-1,7,modified,1519
1,7,real,1832
-1,7,modified,2426
1,7,real,2027
1,7,real,2921
-2,7,modified,592
